comment,clean_comment,sentiment
I loved this movie,i loved this movie,Positive
"Be with someone who shares the same dreams and aspirations with you. Don’t let anyone gaslight you into a loveless marriage. He made a very great sacrifice, but abeg, I won’t marry who I don’t love o",be with someone who shares the same dreams and aspirations with you  don t let anyone gaslight you into a loveless marriage  he made a very great sacrifice  but abeg  i won t marry who i don t love o,Positive
Part two please,part two please,Neutral
The heart would want what it’s want,the heart would want what it s want,Neutral
He is living with one kidney and yet he is drinking liquor. Didn't the Dr inform him of things to avoid? 9ja movies though,he is living with one kidney and yet he is drinking liquor  didn t the dr inform him of things to avoid   ja movies though,Neutral
NICE MOVIE!,nice movie ,Positive
Yes money is not everything. But omooooh I'll take that 150m.,yes money is not everything  but omooooh i ll take that    m ,Neutral
"The whole fact is love is a strong feeling with deep affection for someone or something 
Give your heart to someone whom you have 💯 assurance and trust in 
Because love is something that has to be developing,venturing before you do engagement 💍",the whole fact is love is a strong feeling with deep affection for someone or something  give your heart to someone whom you have   assurance and trust in  because love is something that has to be developing venturing before you do engagement  ,Positive
Can make nobody to love you back❤,can make nobody to love you back ,Positive
Giving up is a sin,giving up is a sin,Neutral
"“Never ever give something freely, and expect something in return.” Quoted by Obi. This is the teachable line in this movie.", never ever give something freely  and expect something in return   quoted by obi  this is the teachable line in this movie ,Positive
Can't force love 😢,can t force love  ,Positive
This man is very hard working and good looking too! Frederick 💌,this man is very hard working and good looking too  frederick  ,Positive
Women's,women s,Neutral
Watching from south Africa 🇿🇦,watching from south africa   ,Neutral
"hmm, I believe if obina doesn't want to be a rich man",hmm  i believe if obina doesn t want to be a rich man,Positive
Nice work oo,nice work oo,Positive
"The heart wants what it wants. Thou she was blessed with his kidney, but she wasn't in love with him but she was in love with Mr. Brilliant. I hope he found his better half later. ❤❤❤❤",the heart wants what it wants  thou she was blessed with his kidney  but she wasn t in love with him but she was in love with mr  brilliant  i hope he found his better half later      ,Positive
Same here,same here,Neutral
This man didn’t want to improve himself either financially,this man didn t want to improve himself either financially,Neutral
"To be honest money makes life easy but I de rather go with a soul that risks their life for mine to exist 
That's rare & that's a soul j ask God for 😊❤",to be honest money makes life easy but i de rather go with a soul that risks their life for mine to exist  that s rare   that s a soul j ask god for   ,Positive
"Frederick Leonard, you are the number ONE actor so far. I always look for your face to view your movies. Thanks a lot. You really entertain your viewers' time with  profound insight into every title.",frederick leonard  you are the number one actor so far  i always look for your face to view your movies  thanks a lot  you really entertain your viewers  time with  profound insight into every title ,Positive
love love great work,love love great work,Positive
"Money can't buy everything, so true  real talk 👄 and it's not good to do something for someone and expecting anything in return. Awesome movie good information 👌 love always wins 🏆 ❤❤❤❤❤",money can t buy everything  so true  real talk   and it s not good to do something for someone and expecting anything in return  awesome movie good information   love always wins        ,Positive
❤❤❤,   ,Neutral
GREAT MOVIE,great movie,Positive
I'm just coming mark attendance 😍,i m just coming mark attendance  ,Neutral
my movie lord indeed you are ❤❤,my movie lord indeed you are   ,Neutral
